GROUP,GRAT
HEADING,LOCA_ID,SAMP_ID,SPEC_REF,GRAT_SIZE,GRAT_PERP,GRAT_REM
UNIT,,,,mm,%,
TYPE,ID,ID,X,2DP,2DP,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,200,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,150,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,100,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,75,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,63,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,37.5,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,26.5,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,19,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,13.2,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,9.5,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,4.75,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,2.36,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,1.18,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,0.6,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,0.425,100,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,0.3,99,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,0.15,27,
DATA,BH_4945,WQP-POD02-BH002-001,WQP-POD02-BH002-001,0.063,6,