GROUP,EVNG
HEADING,EVNG_ID,EVNG_NAME,EVNG_ELAT,EVNG_ELON,EVNG_DPTH,EVNG_MAG,EVNG_DTTM,EVNG_REM
UNIT,,,deg,deg,km,,yyyy-mmdd-hhmm,
TYPE,ID,X,5DP,5DP,1DP,2DP,DT,X
DATA,6,"Darfield (Canterbury)",-43.53,172.17,11,7.1,2010-09-04,
DATA,,"Darfield (Canterbury)",-43.53,172.17,11,7.1,2010-09-04,
DATA,8,Christchurch,-43.58,172.68,5,6.2,2011-02-22,
DATA,9,"Christchurch SE Aftershock 0416",-43.59917,172.7578,9,5.0,2011-04-16,
DATA,10,"Christchurch SE Foreshock 0613",-43.57667,172.75,9,5.3,2011-06-13,
DATA,11,"Christchurch SE Earthquake 0613",-43.57056,172.7378,7,6,2011-06-13,
DATA,12,"Lyttleton Foreshock",-43.48139,172.7994,10,5.8,2011-12-23,
DATA,13,"Lyttleton Earthquake",43.52444,172.7497,7,5.9,2011-12-23,
DATA,14,"Valentine&#39;s Day",-43.49722,172.755,8,5.7,2016-02-14,