GROUP,GSWD
HEADING,LOCA_ID,GSWD_WVLN,GSWD_FREQ,GSWD_PHVL,GPVS_REM
UNIT,,m,HZ,m/s,
TYPE,ID,2DP,3DP,2DP,X
DATA,SASW02,1.87,,61,
DATA,SASW02,1.88,,62,
DATA,SASW02,1.89,,63,
DATA,SASW02,1.9,,65,
DATA,SASW02,1.91,,66,
DATA,SASW02,1.92,,67,
DATA,SASW02,1.93,,68,
DATA,SASW02,1.95,,70,
DATA,SASW02,1.97,,72,
DATA,SASW02,1.99,,73,
DATA,SASW02,2.01,,75,
DATA,SASW02,2.03,,77,
DATA,SASW02,2.05,,79,
DATA,SASW02,2.07,,81,
DATA,SASW02,2.09,,83,
DATA,SASW02,2.11,,85,
DATA,SASW02,2.14,,87,
DATA,SASW02,2.15,,88,
DATA,SASW02,2.17,,90,
DATA,SASW02,2.19,,92,
DATA,SASW02,2.21,,94,
DATA,SASW02,2.22,,96,
DATA,SASW02,2.24,,98,
DATA,SASW02,2.26,,99,
DATA,SASW02,2.28,,73,
DATA,SASW02,2.28,,101,
DATA,SASW02,2.29,,72,
DATA,SASW02,2.3,,103,
DATA,SASW02,2.32,,105,
DATA,SASW02,2.5,,77,
DATA,SASW02,2.57,,78,
DATA,SASW02,2.65,,79,
DATA,SASW02,2.71,,80,
DATA,SASW02,2.75,,80,
DATA,SASW02,2.8,,80,
DATA,SASW02,2.84,,80,
DATA,SASW02,2.88,,79,
DATA,SASW02,2.92,,79,
DATA,SASW02,2.98,,79,
DATA,SASW02,3.03,,79,
DATA,SASW02,3.1,,79,
DATA,SASW02,3.19,,80,
DATA,SASW02,3.28,,80,
DATA,SASW02,3.41,,82,
DATA,SASW02,3.57,,84,
DATA,SASW02,3.69,,85,
DATA,SASW02,3.73,,84,
DATA,SASW02,3.79,,83,
DATA,SASW02,3.82,,82,
DATA,SASW02,3.89,,82,
DATA,SASW02,3.98,,82,
DATA,SASW02,6.64,,133,
DATA,SASW02,7.63,,149,
DATA,SASW02,8.24,,157,
DATA,SASW02,8.95,,166,
DATA,SASW02,9.82,,177,
DATA,SASW02,10.89,,191,
DATA,SASW02,11.38,,193,
DATA,SASW02,11.59,,180,
DATA,SASW02,11.89,,196,
DATA,SASW02,12.09,,193,
DATA,SASW02,12.1,,181,
DATA,SASW02,12.43,,168,
DATA,SASW02,12.73,,185,
DATA,SASW02,12.75,,166,
DATA,SASW02,13.05,,163,
DATA,SASW02,13.47,,189,
DATA,SASW02,13.57,,163,
DATA,SASW02,14.17,,163,
DATA,SASW02,14.94,,164,
DATA,SASW02,15.96,,168,
DATA,SASW02,17.64,,176,
DATA,SASW02,19.82,,188,
DATA,SASW02,21.58,,194,
DATA,SASW02,23.29,,198,
DATA,SASW02,24.46,,196,
DATA,SASW02,28.32,,212,